epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.4941,0.0784,6.2621,0.1373,0.001000
2,2.4581,0.4647,2.8882,0.3578,0.000997
3,1.2925,0.7647,2.0220,0.4873,0.000989
4,0.6483,0.8922,1.9907,0.5225,0.000976
5,0.3488,0.9490,1.4764,0.6529,0.000957
6,0.1590,0.9902,1.3125,0.6735,0.000933
7,0.0843,0.9961,1.3868,0.6676,0.000905
8,0.0430,1.0000,1.0999,0.7304,0.000872
9,0.0274,1.0000,1.0363,0.7559,0.000835
10,0.0217,1.0000,1.0131,0.7520,0.000794
11,0.0147,1.0000,0.9799,0.7559,0.000750
12,0.0095,1.0000,0.9039,0.7814,0.000703
13,0.0077,1.0000,0.8895,0.7863,0.000655
14,0.0069,1.0000,0.8785,0.7833,0.000604
15,0.0064,1.0000,0.8683,0.7892,0.000552
16,0.0064,1.0000,0.8643,0.7882,0.000500
17,0.0063,1.0000,0.8615,0.7863,0.000448
18,0.0050,1.0000,0.8734,0.7814,0.000396
19,0.0042,1.0000,0.8664,0.7843,0.000345
20,0.0052,1.0000,0.8584,0.7892,0.000297
21,0.0047,1.0000,0.8586,0.7912,0.000250
22,0.0045,1.0000,0.8585,0.7961,0.000206
23,0.0044,1.0000,0.8591,0.7863,0.000165
24,0.0039,1.0000,0.8609,0.7902,0.000128
25,0.0037,1.0000,0.8568,0.7882,0.000095
26,0.0039,1.0000,0.8554,0.7931,0.000067
27,0.0035,1.0000,0.8540,0.7892,0.000043
28,0.0039,1.0000,0.8533,0.7931,0.000024
29,0.0039,1.0000,0.8533,0.7882,0.000011
30,0.0038,1.0000,0.8532,0.7902,0.000003
