epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.6075,0.2373,3.2407,0.2961,0.001000
2,1.6148,0.6167,1.9685,0.4912,0.000999
3,0.8559,0.8010,1.9009,0.5059,0.000996
4,0.5071,0.8971,1.5462,0.6078,0.000991
5,0.3392,0.9206,1.1274,0.7147,0.000984
6,0.2193,0.9461,1.1660,0.6873,0.000976
7,0.2077,0.9510,1.2535,0.6961,0.000965
8,0.1184,0.9824,1.0851,0.7304,0.000952
9,0.1232,0.9745,1.0391,0.7324,0.000938
10,0.0810,0.9863,0.9330,0.7657,0.000922
11,0.0703,0.9902,0.8910,0.7686,0.000905
12,0.0401,0.9961,0.7313,0.8078,0.000885
13,0.0190,1.0000,0.7117,0.8265,0.000864
14,0.0160,0.9990,0.7467,0.8010,0.000842
15,0.0272,0.9961,0.6747,0.8059,0.000819
16,0.0253,0.9961,0.7488,0.8020,0.000794
17,0.0190,0.9931,0.7132,0.8225,0.000768
18,0.0112,0.9990,0.6391,0.8304,0.000741
19,0.0053,1.0000,0.5433,0.8490,0.000713
20,0.0032,1.0000,0.5188,0.8569,0.000684
21,0.0029,1.0000,0.5154,0.8578,0.000655
22,0.0027,1.0000,0.5059,0.8647,0.000624
23,0.0022,1.0000,0.5143,0.8559,0.000594
24,0.0022,1.0000,0.5096,0.8637,0.000563
25,0.0015,1.0000,0.5099,0.8578,0.000531
26,0.0013,1.0000,0.5002,0.8667,0.000500
27,0.0013,1.0000,0.5007,0.8618,0.000469
28,0.0012,1.0000,0.4923,0.8725,0.000437
29,0.0013,1.0000,0.4943,0.8667,0.000406
30,0.0012,1.0000,0.4845,0.8706,0.000376
31,0.0011,1.0000,0.4838,0.8706,0.000345
32,0.0010,1.0000,0.4884,0.8725,0.000316
33,0.0010,1.0000,0.4838,0.8706,0.000287
34,0.0009,1.0000,0.4803,0.8725,0.000259
35,0.0010,1.0000,0.4800,0.8696,0.000232
36,0.0010,1.0000,0.4784,0.8745,0.000206
37,0.0010,1.0000,0.4816,0.8716,0.000181
38,0.0009,1.0000,0.4795,0.8755,0.000158
39,0.0010,1.0000,0.4812,0.8696,0.000136
40,0.0009,1.0000,0.4852,0.8755,0.000115
41,0.0008,1.0000,0.4830,0.8657,0.000095
42,0.0009,1.0000,0.4800,0.8735,0.000078
43,0.0009,1.0000,0.4814,0.8755,0.000062
44,0.0009,1.0000,0.4755,0.8716,0.000048
45,0.0008,1.0000,0.4843,0.8686,0.000035
46,0.0008,1.0000,0.4792,0.8716,0.000024
47,0.0007,1.0000,0.4825,0.8716,0.000016
48,0.0007,1.0000,0.4838,0.8725,0.000009
49,0.0009,1.0000,0.4772,0.8765,0.000004
50,0.0009,1.0000,0.4789,0.8725,0.000001
