epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.7295,0.2029,3.2148,0.3010,0.001000
2,1.6802,0.6108,1.9649,0.4912,0.000999
3,0.8466,0.8216,1.4099,0.6353,0.000996
4,0.4781,0.8971,1.2604,0.6971,0.000991
5,0.3734,0.9088,1.2570,0.6676,0.000984
6,0.2131,0.9647,1.4109,0.6353,0.000976
7,0.1545,0.9735,1.0081,0.7500,0.000965
8,0.1455,0.9765,0.9699,0.7373,0.000952
9,0.1024,0.9794,0.9852,0.7480,0.000938
10,0.0710,0.9873,0.8632,0.7814,0.000922
11,0.0453,0.9951,0.6913,0.8176,0.000905
12,0.0308,0.9931,0.7189,0.8176,0.000885
13,0.0310,0.9941,0.6386,0.8392,0.000864
14,0.0206,0.9971,0.7142,0.8235,0.000842
15,0.0180,0.9990,0.6654,0.8353,0.000819
16,0.0136,0.9990,0.8097,0.7990,0.000794
17,0.0218,0.9971,0.6056,0.8539,0.000768
18,0.0228,0.9980,0.7349,0.8225,0.000741
19,0.0108,0.9990,0.6977,0.8265,0.000713
20,0.0184,0.9961,0.7562,0.8186,0.000684
21,0.0422,0.9882,0.9376,0.7549,0.000655
22,0.0242,0.9971,0.7076,0.8216,0.000624
23,0.0306,0.9931,0.7487,0.8127,0.000594
24,0.0140,0.9990,0.6825,0.8304,0.000563
25,0.0122,0.9990,0.8246,0.8186,0.000531
26,0.0307,0.9922,0.7121,0.8225,0.000500
27,0.0142,0.9980,0.7134,0.8451,0.000469
28,0.0112,0.9980,0.6278,0.8500,0.000437
29,0.0072,0.9990,0.5746,0.8647,0.000406
30,0.0076,0.9971,0.6031,0.8510,0.000376
31,0.0043,1.0000,0.5689,0.8569,0.000345
32,0.0028,1.0000,0.5495,0.8716,0.000316
33,0.0022,1.0000,0.5307,0.8725,0.000287
34,0.0018,1.0000,0.5346,0.8735,0.000259
35,0.0017,1.0000,0.5325,0.8745,0.000232
36,0.0019,1.0000,0.5203,0.8794,0.000206
37,0.0016,1.0000,0.5219,0.8765,0.000181
38,0.0016,1.0000,0.5205,0.8735,0.000158
39,0.0014,1.0000,0.5194,0.8755,0.000136
40,0.0014,1.0000,0.5129,0.8814,0.000115
41,0.0013,1.0000,0.5160,0.8824,0.000095
42,0.0012,1.0000,0.5115,0.8794,0.000078
43,0.0012,1.0000,0.5096,0.8794,0.000062
44,0.0015,1.0000,0.5031,0.8833,0.000048
45,0.0014,1.0000,0.5075,0.8824,0.000035
46,0.0012,1.0000,0.5111,0.8794,0.000024
47,0.0013,1.0000,0.5001,0.8794,0.000016
48,0.0011,1.0000,0.5036,0.8814,0.000009
49,0.0012,1.0000,0.5041,0.8765,0.000004
50,0.0011,1.0000,0.5081,0.8804,0.000001
