epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.9794,0.0294,4.3976,0.0696,0.001000
2,2.7506,0.5049,3.4604,0.2216,0.000997
3,1.4248,0.8333,3.5143,0.2127,0.000989
4,0.6806,0.9510,3.5949,0.2480,0.000976
5,0.3340,0.9608,2.8921,0.3441,0.000957
6,0.1901,0.9902,2.8754,0.3304,0.000933
7,0.1169,0.9951,2.7270,0.3775,0.000905
8,0.0692,1.0000,2.6622,0.3804,0.000872
9,0.0589,1.0000,2.2722,0.4637,0.000835
10,0.0266,1.0000,2.2352,0.4892,0.000794
11,0.0390,1.0000,2.2488,0.5010,0.000750
12,0.0156,1.0000,2.2045,0.5069,0.000703
13,0.0165,1.0000,2.1493,0.5157,0.000655
14,0.0111,1.0000,2.1074,0.5245,0.000604
15,0.0099,1.0000,2.0938,0.5167,0.000552
16,0.0078,1.0000,2.0935,0.5157,0.000500
17,0.0072,1.0000,2.0739,0.5127,0.000448
18,0.0060,1.0000,2.0632,0.5265,0.000396
19,0.0061,1.0000,2.0412,0.5294,0.000345
20,0.0055,1.0000,2.0137,0.5304,0.000297
21,0.0049,1.0000,2.0064,0.5343,0.000250
22,0.0043,1.0000,1.9911,0.5402,0.000206
23,0.0077,1.0000,1.9926,0.5392,0.000165
24,0.0049,1.0000,1.9960,0.5333,0.000128
25,0.0040,1.0000,2.0032,0.5363,0.000095
26,0.0058,1.0000,1.9999,0.5392,0.000067
27,0.0040,1.0000,2.0040,0.5363,0.000043
28,0.0040,1.0000,1.9995,0.5373,0.000024
29,0.0040,1.0000,1.9998,0.5402,0.000011
30,0.0044,1.0000,1.9960,0.5422,0.000003
