epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.6141,0.2324,4.1241,0.1441,0.001000
2,1.7675,0.5412,3.3538,0.3510,0.000999
3,1.1631,0.6931,1.8796,0.5186,0.000996
4,0.7318,0.8049,2.1774,0.4971,0.000991
5,0.4491,0.8784,1.5403,0.6108,0.000984
6,0.3241,0.9147,1.2436,0.6775,0.000976
7,0.2238,0.9441,1.0870,0.7225,0.000965
8,0.1897,0.9529,1.1689,0.6951,0.000952
9,0.1875,0.9549,1.9756,0.5520,0.000938
10,0.1955,0.9549,1.7312,0.6059,0.000922
11,0.1777,0.9569,1.0347,0.7186,0.000905
12,0.1170,0.9696,0.9754,0.7392,0.000885
13,0.1584,0.9618,1.2214,0.6892,0.000864
14,0.1888,0.9490,1.3397,0.6735,0.000842
15,0.1541,0.9559,1.5868,0.6167,0.000819
16,0.1615,0.9647,1.2752,0.7059,0.000794
17,0.1139,0.9667,1.3386,0.6863,0.000768
18,0.1183,0.9716,1.1427,0.7127,0.000741
19,0.0718,0.9824,1.0232,0.7637,0.000713
20,0.0437,0.9882,0.9114,0.7706,0.000684
21,0.0483,0.9922,0.9391,0.7706,0.000655
22,0.0207,0.9971,0.7085,0.8245,0.000624
23,0.0144,0.9980,0.7272,0.8108,0.000594
24,0.0084,1.0000,0.6873,0.8196,0.000563
25,0.0060,0.9990,0.6551,0.8275,0.000531
26,0.0037,1.0000,0.6392,0.8235,0.000500
27,0.0028,1.0000,0.6190,0.8363,0.000469
28,0.0027,1.0000,0.6115,0.8373,0.000437
29,0.0031,0.9990,0.6035,0.8402,0.000406
30,0.0025,0.9990,0.6193,0.8402,0.000376
31,0.0018,1.0000,0.6282,0.8324,0.000345
32,0.0019,1.0000,0.6061,0.8392,0.000316
33,0.0018,1.0000,0.6023,0.8382,0.000287
34,0.0023,1.0000,0.5917,0.8441,0.000259
35,0.0021,1.0000,0.5935,0.8392,0.000232
36,0.0017,1.0000,0.5795,0.8402,0.000206
37,0.0012,1.0000,0.5781,0.8431,0.000181
38,0.0015,1.0000,0.5763,0.8382,0.000158
39,0.0014,1.0000,0.5754,0.8422,0.000136
40,0.0016,1.0000,0.5840,0.8392,0.000115
41,0.0024,1.0000,0.5752,0.8382,0.000095
42,0.0018,1.0000,0.5747,0.8412,0.000078
43,0.0011,1.0000,0.5695,0.8422,0.000062
44,0.0011,1.0000,0.5755,0.8461,0.000048
45,0.0014,1.0000,0.5689,0.8441,0.000035
46,0.0011,1.0000,0.5719,0.8422,0.000024
47,0.0014,1.0000,0.5752,0.8441,0.000016
48,0.0017,1.0000,0.5702,0.8431,0.000009
49,0.0014,1.0000,0.5674,0.8441,0.000004
50,0.0010,1.0000,0.5700,0.8412,0.000001
