epoch,train_loss,train_acc,val_loss,val_acc,lr
1,5.1297,0.0098,5.2403,0.0098,0.001000
2,4.5503,0.0000,5.1211,0.0098,0.000997
3,4.3929,0.0294,4.7459,0.0098,0.000989
4,4.2988,0.0196,4.6697,0.0098,0.000976
5,4.2527,0.0294,4.7202,0.0098,0.000957
6,4.1836,0.0490,4.7966,0.0098,0.000933
7,4.1063,0.0490,4.8758,0.0098,0.000905
8,3.9838,0.0490,4.9433,0.0098,0.000872
9,4.0095,0.0490,5.0134,0.0098,0.000835
10,3.9217,0.0686,5.0844,0.0098,0.000794
11,3.8067,0.0980,5.1651,0.0098,0.000750
12,3.7284,0.1078,5.2028,0.0098,0.000703
13,3.6512,0.1275,5.1466,0.0098,0.000655
14,3.5137,0.1471,5.0768,0.0157,0.000604
15,3.3660,0.1765,5.1329,0.0216,0.000552
16,3.2961,0.1863,5.1070,0.0314,0.000500
17,3.1909,0.2255,5.0755,0.0451,0.000448
18,3.1186,0.2549,5.1764,0.0431,0.000396
19,3.0782,0.2843,5.2620,0.0500,0.000345
20,3.0592,0.2647,5.3188,0.0500,0.000297
21,2.9778,0.3333,5.3244,0.0480,0.000250
22,2.8602,0.3725,5.2502,0.0490,0.000206
23,2.8173,0.3627,5.1603,0.0588,0.000165
24,2.7902,0.3725,5.1354,0.0657,0.000128
25,2.7546,0.4020,5.1675,0.0618,0.000095
26,2.6811,0.4804,5.1866,0.0618,0.000067
27,2.6890,0.4314,5.1064,0.0637,0.000043
28,2.8050,0.4020,5.1500,0.0647,0.000024
29,2.6634,0.4216,5.0841,0.0676,0.000011
30,2.6899,0.4608,5.0442,0.0696,0.000003
