epoch,train_loss,train_acc,val_loss,val_acc,lr
1,5.0626,0.0392,4.5594,0.0598,0.001000
2,2.7337,0.4314,4.4262,0.1078,0.000997
3,1.4309,0.6961,3.4921,0.2098,0.000989
4,0.7602,0.9118,3.1673,0.2578,0.000976
5,0.3920,0.9412,3.4037,0.2647,0.000957
6,0.2314,0.9755,3.0837,0.3078,0.000933
7,0.1445,0.9804,2.8575,0.3412,0.000905
8,0.0973,1.0000,2.6754,0.3725,0.000872
9,0.0748,1.0000,2.7635,0.3686,0.000835
10,0.0736,0.9902,2.6888,0.3922,0.000794
11,0.0490,0.9951,2.6314,0.4196,0.000750
12,0.0476,0.9951,2.6436,0.4216,0.000703
13,0.0249,1.0000,2.5955,0.4265,0.000655
14,0.0270,1.0000,2.5635,0.4245,0.000604
15,0.0235,1.0000,2.5227,0.4255,0.000552
16,0.0260,0.9951,2.4648,0.4353,0.000500
17,0.0119,1.0000,2.5361,0.4441,0.000448
18,0.0251,0.9902,2.5384,0.4098,0.000396
19,0.0160,1.0000,2.5559,0.4098,0.000345
20,0.0419,0.9951,2.3923,0.4539,0.000297
21,0.0108,1.0000,2.3726,0.4608,0.000250
22,0.0116,1.0000,2.3661,0.4686,0.000206
23,0.0079,1.0000,2.3960,0.4657,0.000165
24,0.0104,0.9951,2.3811,0.4676,0.000128
25,0.0096,1.0000,2.3784,0.4706,0.000095
26,0.0084,1.0000,2.3873,0.4725,0.000067
27,0.0070,1.0000,2.3819,0.4725,0.000043
28,0.0068,1.0000,2.3779,0.4725,0.000024
29,0.0078,1.0000,2.3743,0.4725,0.000011
30,0.0082,1.0000,2.3803,0.4686,0.000003
