epoch,train_loss,train_acc,val_loss,val_acc,lr
1,5.0799,0.0000,4.0287,0.1725,0.001000
2,2.1408,0.8333,3.5910,0.2167,0.000997
3,1.0626,0.9706,3.5186,0.2059,0.000989
4,0.5627,0.9804,3.4487,0.2373,0.000976
5,0.3009,1.0000,3.3734,0.2529,0.000957
6,0.2050,0.9804,3.2011,0.2804,0.000933
7,0.1538,0.9902,3.1552,0.2853,0.000905
8,0.1238,1.0000,3.1634,0.2843,0.000872
9,0.0906,1.0000,3.1505,0.2971,0.000835
10,0.0822,1.0000,3.1603,0.2971,0.000794
11,0.0718,0.9902,3.1616,0.2961,0.000750
12,0.0542,1.0000,3.1950,0.2912,0.000703
13,0.0717,0.9902,3.1982,0.2882,0.000655
14,0.0423,1.0000,3.1638,0.3000,0.000604
15,0.0417,1.0000,3.1246,0.3088,0.000552
16,0.0341,1.0000,3.0797,0.3235,0.000500
17,0.0323,1.0000,3.0401,0.3304,0.000448
18,0.0254,1.0000,3.0048,0.3353,0.000396
19,0.0352,1.0000,2.9703,0.3333,0.000345
20,0.0221,1.0000,2.9363,0.3392,0.000297
21,0.0262,1.0000,2.8990,0.3373,0.000250
22,0.0147,1.0000,2.8955,0.3412,0.000206
23,0.0240,1.0000,2.8803,0.3422,0.000165
24,0.0158,1.0000,2.8775,0.3441,0.000128
25,0.0166,1.0000,2.8529,0.3510,0.000095
26,0.0162,1.0000,2.8583,0.3500,0.000067
27,0.0173,1.0000,2.8657,0.3500,0.000043
28,0.0156,1.0000,2.8619,0.3510,0.000024
29,0.0161,1.0000,2.8581,0.3500,0.000011
30,0.0138,1.0000,2.8564,0.3500,0.000003
