epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.4045,0.2853,2.4292,0.3990,0.001000
2,1.0813,0.7833,1.1062,0.7284,0.000999
3,0.3930,0.9353,1.0406,0.7637,0.000996
4,0.1891,0.9716,0.7505,0.8108,0.000991
5,0.1190,0.9775,0.7961,0.7980,0.000984
6,0.1218,0.9784,0.6777,0.8275,0.000976
7,0.0950,0.9882,0.7197,0.8235,0.000965
8,0.0779,0.9853,0.7001,0.8265,0.000952
9,0.0434,0.9951,0.6344,0.8490,0.000938
10,0.0303,0.9971,0.6183,0.8431,0.000922
11,0.0160,1.0000,0.5025,0.8873,0.000905
12,0.0099,1.0000,0.4502,0.8922,0.000885
13,0.0051,1.0000,0.4271,0.8931,0.000864
14,0.0038,1.0000,0.3941,0.9049,0.000842
15,0.0042,1.0000,0.4148,0.8912,0.000819
16,0.0157,0.9971,0.4828,0.8755,0.000794
17,0.0385,0.9912,0.6322,0.8343,0.000768
18,0.0415,0.9931,0.7866,0.7990,0.000741
19,0.0547,0.9912,0.6282,0.8431,0.000713
20,0.0533,0.9892,0.9693,0.7814,0.000684
21,0.1292,0.9706,1.2614,0.6971,0.000655
22,0.1356,0.9676,0.8410,0.7833,0.000624
23,0.1065,0.9775,0.9792,0.7520,0.000594
24,0.0715,0.9873,0.6198,0.8402,0.000563
25,0.0193,0.9980,0.5691,0.8500,0.000531
26,0.0106,0.9990,0.5319,0.8676,0.000500
27,0.0051,1.0000,0.4870,0.8745,0.000469
28,0.0031,1.0000,0.4691,0.8775,0.000437
29,0.0027,1.0000,0.4595,0.8824,0.000406
30,0.0024,1.0000,0.4439,0.8863,0.000376
31,0.0017,1.0000,0.4374,0.8843,0.000345
32,0.0020,1.0000,0.4361,0.8843,0.000316
33,0.0017,1.0000,0.4268,0.8873,0.000287
34,0.0015,1.0000,0.4234,0.8853,0.000259
35,0.0015,1.0000,0.4270,0.8853,0.000232
36,0.0014,1.0000,0.4149,0.8863,0.000206
37,0.0015,1.0000,0.4186,0.8912,0.000181
38,0.0012,1.0000,0.4128,0.8873,0.000158
39,0.0014,1.0000,0.4191,0.8882,0.000136
40,0.0012,1.0000,0.4100,0.8843,0.000115
41,0.0014,1.0000,0.4140,0.8843,0.000095
42,0.0013,1.0000,0.4153,0.8863,0.000078
43,0.0010,1.0000,0.4164,0.8863,0.000062
44,0.0010,1.0000,0.4105,0.8873,0.000048
45,0.0013,1.0000,0.4149,0.8863,0.000035
46,0.0011,1.0000,0.4141,0.8853,0.000024
47,0.0012,1.0000,0.4220,0.8843,0.000016
48,0.0012,1.0000,0.4095,0.8882,0.000009
49,0.0012,1.0000,0.4108,0.8833,0.000004
50,0.0017,1.0000,0.4061,0.8892,0.000001
