epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.4324,0.2657,2.7709,0.3853,0.001000
2,1.1720,0.7618,1.1440,0.7314,0.000999
3,0.4339,0.9167,1.1310,0.7186,0.000996
4,0.2555,0.9539,0.8376,0.7922,0.000991
5,0.1884,0.9706,0.8273,0.7922,0.000984
6,0.1128,0.9804,0.7686,0.8078,0.000976
7,0.0888,0.9853,0.6411,0.8382,0.000965
8,0.0439,0.9961,0.6049,0.8627,0.000952
9,0.0239,0.9990,0.5128,0.8784,0.000938
10,0.0122,1.0000,0.4538,0.8931,0.000922
11,0.0078,1.0000,0.4281,0.8980,0.000905
12,0.0052,1.0000,0.4337,0.9010,0.000885
13,0.0040,1.0000,0.4140,0.9039,0.000864
14,0.0030,1.0000,0.4044,0.9059,0.000842
15,0.0026,1.0000,0.3984,0.9059,0.000819
16,0.0022,1.0000,0.3903,0.9078,0.000794
17,0.0022,1.0000,0.3835,0.9069,0.000768
18,0.0019,1.0000,0.3797,0.9078,0.000741
19,0.0016,1.0000,0.3864,0.9088,0.000713
20,0.0015,1.0000,0.3739,0.9118,0.000684
21,0.0015,1.0000,0.3673,0.9137,0.000655
22,0.0015,1.0000,0.3744,0.9127,0.000624
23,0.0013,1.0000,0.3817,0.9059,0.000594
24,0.0014,1.0000,0.3683,0.9098,0.000563
25,0.0012,1.0000,0.3782,0.9049,0.000531
26,0.0014,1.0000,0.3735,0.9118,0.000500
27,0.0013,1.0000,0.3738,0.9059,0.000469
28,0.0013,1.0000,0.3725,0.9108,0.000437
29,0.0011,1.0000,0.3745,0.9088,0.000406
30,0.0012,1.0000,0.3783,0.9059,0.000376
31,0.0010,1.0000,0.3733,0.9069,0.000345
32,0.0009,1.0000,0.3690,0.9088,0.000316
33,0.0008,1.0000,0.3657,0.9137,0.000287
34,0.0008,1.0000,0.3644,0.9118,0.000259
35,0.0009,1.0000,0.3648,0.9127,0.000232
36,0.0010,1.0000,0.3633,0.9137,0.000206
37,0.0009,1.0000,0.3682,0.9157,0.000181
38,0.0009,1.0000,0.3621,0.9118,0.000158
39,0.0008,1.0000,0.3656,0.9118,0.000136
40,0.0007,1.0000,0.3655,0.9108,0.000115
41,0.0008,1.0000,0.3618,0.9167,0.000095
42,0.0008,1.0000,0.3617,0.9137,0.000078
43,0.0008,1.0000,0.3622,0.9147,0.000062
44,0.0009,1.0000,0.3594,0.9157,0.000048
45,0.0009,1.0000,0.3620,0.9108,0.000035
46,0.0010,1.0000,0.3626,0.9127,0.000024
47,0.0008,1.0000,0.3601,0.9118,0.000016
48,0.0008,1.0000,0.3602,0.9137,0.000009
49,0.0009,1.0000,0.3593,0.9167,0.000004
50,0.0008,1.0000,0.3637,0.9137,0.000001
