epoch,train_loss,train_acc,val_loss,val_acc,lr
1,5.0055,0.0196,5.6521,0.0559,0.001000
2,2.9681,0.3922,4.3405,0.1157,0.000997
3,1.6085,0.7647,3.9303,0.1667,0.000989
4,0.8530,0.8775,3.6496,0.2157,0.000976
5,0.4301,0.9412,3.3481,0.2716,0.000957
6,0.3145,0.9608,3.2601,0.2951,0.000933
7,0.1833,0.9755,3.3354,0.3069,0.000905
8,0.1169,0.9853,3.0328,0.3294,0.000872
9,0.0880,0.9951,2.9914,0.3392,0.000835
10,0.0568,1.0000,2.9142,0.3775,0.000794
11,0.0460,0.9951,2.7335,0.4059,0.000750
12,0.0335,1.0000,2.7199,0.4108,0.000703
13,0.0400,0.9951,2.7982,0.3912,0.000655
14,0.0328,1.0000,2.5742,0.4235,0.000604
15,0.0423,0.9951,2.5817,0.4137,0.000552
16,0.0243,0.9951,2.5617,0.4265,0.000500
17,0.0436,0.9902,2.5632,0.4275,0.000448
18,0.0142,1.0000,2.5365,0.4363,0.000396
19,0.0215,0.9951,2.5327,0.4333,0.000345
20,0.0177,1.0000,2.4747,0.4451,0.000297
21,0.0170,1.0000,2.4923,0.4471,0.000250
22,0.0122,1.0000,2.4686,0.4500,0.000206
23,0.0345,0.9853,2.4485,0.4618,0.000165
24,0.0094,1.0000,2.4185,0.4598,0.000128
25,0.0093,1.0000,2.4268,0.4608,0.000095
26,0.0131,1.0000,2.4307,0.4578,0.000067
27,0.0100,1.0000,2.4488,0.4539,0.000043
28,0.0080,1.0000,2.4402,0.4588,0.000024
29,0.0078,1.0000,2.4266,0.4608,0.000011
30,0.0107,1.0000,2.4256,0.4637,0.000003
