epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.7221,0.2127,4.8618,0.2314,0.001000
2,1.4024,0.6176,1.5211,0.6186,0.000999
3,0.6046,0.8373,1.1937,0.6931,0.000996
4,0.3474,0.9049,0.9306,0.7510,0.000991
5,0.2254,0.9431,1.0135,0.7520,0.000984
6,0.1422,0.9667,0.8318,0.8039,0.000976
7,0.1321,0.9686,0.9008,0.7843,0.000965
8,0.0996,0.9745,0.8881,0.7735,0.000952
9,0.1374,0.9598,0.8481,0.7961,0.000938
10,0.1397,0.9637,0.9276,0.7608,0.000922
11,0.0550,0.9873,0.7009,0.8265,0.000905
12,0.0430,0.9912,0.6827,0.8196,0.000885
13,0.0496,0.9873,0.6866,0.8235,0.000864
14,0.0492,0.9853,0.6130,0.8255,0.000842
15,0.0256,0.9961,0.6111,0.8275,0.000819
16,0.0356,0.9951,0.6380,0.8333,0.000794
17,0.0168,0.9941,0.5926,0.8500,0.000768
18,0.0183,0.9971,0.6172,0.8382,0.000741
19,0.0141,0.9961,0.5964,0.8608,0.000713
20,0.0103,0.9990,0.5636,0.8657,0.000684
21,0.0058,0.9980,0.5412,0.8696,0.000655
22,0.0016,1.0000,0.4704,0.8882,0.000624
23,0.0014,1.0000,0.4564,0.9039,0.000594
24,0.0008,1.0000,0.4554,0.8980,0.000563
25,0.0012,1.0000,0.4593,0.8961,0.000531
26,0.0011,1.0000,0.4500,0.8980,0.000500
27,0.0005,1.0000,0.4778,0.8873,0.000469
28,0.0032,0.9990,0.4560,0.8902,0.000437
29,0.0049,0.9990,0.4459,0.8951,0.000406
30,0.0023,0.9990,0.4804,0.8892,0.000376
31,0.0009,1.0000,0.4618,0.8912,0.000345
32,0.0004,1.0000,0.4662,0.8931,0.000316
33,0.0005,1.0000,0.4516,0.8961,0.000287
34,0.0006,1.0000,0.4478,0.8990,0.000259
35,0.0006,1.0000,0.4504,0.8961,0.000232
36,0.0005,1.0000,0.4494,0.9020,0.000206
37,0.0004,1.0000,0.4412,0.9000,0.000181
38,0.0004,1.0000,0.4434,0.9000,0.000158
39,0.0004,1.0000,0.4546,0.9010,0.000136
40,0.0006,1.0000,0.4486,0.9029,0.000115
41,0.0003,1.0000,0.4466,0.8990,0.000095
42,0.0019,0.9990,0.4432,0.8990,0.000078
43,0.0004,1.0000,0.4468,0.9000,0.000062
44,0.0003,1.0000,0.4502,0.9049,0.000048
45,0.0004,1.0000,0.4460,0.9039,0.000035
46,0.0004,1.0000,0.4348,0.9029,0.000024
47,0.0004,1.0000,0.4407,0.9039,0.000016
48,0.0004,1.0000,0.4414,0.9020,0.000009
49,0.0003,1.0000,0.4478,0.9059,0.000004
50,0.0004,1.0000,0.4484,0.9059,0.000001
