epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.7290,0.0049,4.4339,0.0784,0.001000
2,4.0650,0.3431,4.0685,0.1902,0.000997
3,3.3872,0.6176,3.6284,0.3520,0.000989
4,2.5718,0.9118,3.2228,0.4588,0.000976
5,1.8597,0.9755,2.8803,0.5137,0.000957
6,1.2771,0.9951,2.5883,0.5637,0.000933
7,0.8735,0.9951,2.3633,0.6049,0.000905
8,0.5796,1.0000,2.1993,0.6373,0.000872
9,0.3954,1.0000,2.0651,0.6510,0.000835
10,0.2972,1.0000,1.9798,0.6598,0.000794
11,0.2231,1.0000,1.9185,0.6627,0.000750
12,0.1862,1.0000,1.8714,0.6667,0.000703
13,0.1489,1.0000,1.8288,0.6696,0.000655
14,0.1267,1.0000,1.7948,0.6775,0.000604
15,0.1166,1.0000,1.7735,0.6745,0.000552
16,0.1018,1.0000,1.7525,0.6755,0.000500
17,0.0936,1.0000,1.7388,0.6765,0.000448
18,0.0878,1.0000,1.7287,0.6804,0.000396
19,0.0819,1.0000,1.7146,0.6863,0.000345
20,0.0769,1.0000,1.7046,0.6853,0.000297
21,0.0743,1.0000,1.6981,0.6833,0.000250
22,0.0709,1.0000,1.6913,0.6833,0.000206
23,0.0707,1.0000,1.6874,0.6843,0.000165
24,0.0708,1.0000,1.6840,0.6863,0.000128
25,0.0674,1.0000,1.6821,0.6882,0.000095
26,0.0687,1.0000,1.6799,0.6873,0.000067
27,0.0670,1.0000,1.6783,0.6873,0.000043
28,0.0663,1.0000,1.6773,0.6873,0.000024
29,0.0658,1.0000,1.6770,0.6873,0.000011
30,0.0648,1.0000,1.6770,0.6873,0.000003
