epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.0589,0.1902,2.9450,0.5196,0.001000
2,2.0501,0.7520,1.7019,0.7431,0.000999
3,0.9742,0.9196,1.1509,0.8324,0.000996
4,0.5309,0.9578,0.8774,0.8735,0.000991
5,0.3225,0.9892,0.7438,0.8833,0.000984
6,0.2138,0.9961,0.6732,0.8843,0.000976
7,0.1522,0.9971,0.5985,0.9029,0.000965
8,0.1106,0.9990,0.5531,0.9039,0.000952
9,0.0860,1.0000,0.5227,0.9108,0.000938
10,0.0677,1.0000,0.5136,0.9069,0.000922
11,0.0599,1.0000,0.4887,0.9118,0.000905
12,0.0512,1.0000,0.4631,0.9137,0.000885
13,0.0429,1.0000,0.4507,0.9127,0.000864
14,0.0381,1.0000,0.4487,0.9118,0.000842
15,0.0344,1.0000,0.4350,0.9176,0.000819
16,0.0291,1.0000,0.4288,0.9157,0.000794
17,0.0283,1.0000,0.4149,0.9225,0.000768
18,0.0245,1.0000,0.4120,0.9176,0.000741
19,0.0220,1.0000,0.4017,0.9206,0.000713
20,0.0208,1.0000,0.4004,0.9206,0.000684
21,0.0200,1.0000,0.3936,0.9225,0.000655
22,0.0182,1.0000,0.3907,0.9235,0.000624
23,0.0178,1.0000,0.3865,0.9245,0.000594
24,0.0167,1.0000,0.3775,0.9245,0.000563
25,0.0150,1.0000,0.3803,0.9265,0.000531
26,0.0147,1.0000,0.3762,0.9275,0.000500
27,0.0140,1.0000,0.3738,0.9225,0.000469
28,0.0135,1.0000,0.3689,0.9275,0.000437
29,0.0129,1.0000,0.3704,0.9255,0.000406
30,0.0130,1.0000,0.3629,0.9255,0.000376
31,0.0121,1.0000,0.3702,0.9245,0.000345
32,0.0124,1.0000,0.3646,0.9265,0.000316
33,0.0120,1.0000,0.3595,0.9294,0.000287
34,0.0117,1.0000,0.3618,0.9265,0.000259
35,0.0114,1.0000,0.3599,0.9294,0.000232
36,0.0110,1.0000,0.3592,0.9275,0.000206
37,0.0108,1.0000,0.3588,0.9284,0.000181
38,0.0108,1.0000,0.3556,0.9265,0.000158
39,0.0101,1.0000,0.3553,0.9275,0.000136
40,0.0104,1.0000,0.3538,0.9265,0.000115
41,0.0099,1.0000,0.3542,0.9275,0.000095
42,0.0101,1.0000,0.3535,0.9275,0.000078
43,0.0100,1.0000,0.3536,0.9275,0.000062
44,0.0097,1.0000,0.3535,0.9275,0.000048
45,0.0097,1.0000,0.3529,0.9275,0.000035
46,0.0098,1.0000,0.3526,0.9275,0.000024
47,0.0099,1.0000,0.3527,0.9275,0.000016
48,0.0096,1.0000,0.3527,0.9275,0.000009
49,0.0098,1.0000,0.3527,0.9275,0.000004
50,0.0096,1.0000,0.3527,0.9275,0.000001
