epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.1587,0.1578,3.1135,0.5265,0.001000
2,2.1025,0.7490,1.6509,0.7912,0.000999
3,0.9288,0.9206,1.0563,0.8559,0.000996
4,0.4716,0.9745,0.8091,0.8755,0.000991
5,0.2809,0.9843,0.6705,0.9029,0.000984
6,0.1836,0.9922,0.5895,0.9118,0.000976
7,0.1271,0.9980,0.5424,0.9118,0.000965
8,0.0948,1.0000,0.5056,0.9098,0.000952
9,0.0750,1.0000,0.4712,0.9196,0.000938
10,0.0608,1.0000,0.4567,0.9176,0.000922
11,0.0504,1.0000,0.4340,0.9225,0.000905
12,0.0447,1.0000,0.4287,0.9216,0.000885
13,0.0380,1.0000,0.4104,0.9176,0.000864
14,0.0325,1.0000,0.4061,0.9176,0.000842
15,0.0297,1.0000,0.3909,0.9206,0.000819
16,0.0249,1.0000,0.3830,0.9196,0.000794
17,0.0239,1.0000,0.3731,0.9206,0.000768
18,0.0219,1.0000,0.3707,0.9216,0.000741
19,0.0192,1.0000,0.3692,0.9216,0.000713
20,0.0185,1.0000,0.3605,0.9206,0.000684
21,0.0175,1.0000,0.3600,0.9206,0.000655
22,0.0160,1.0000,0.3494,0.9225,0.000624
23,0.0153,1.0000,0.3511,0.9196,0.000594
24,0.0146,1.0000,0.3470,0.9225,0.000563
25,0.0140,1.0000,0.3407,0.9245,0.000531
26,0.0130,1.0000,0.3422,0.9235,0.000500
27,0.0124,1.0000,0.3366,0.9225,0.000469
28,0.0119,1.0000,0.3334,0.9225,0.000437
29,0.0113,1.0000,0.3367,0.9196,0.000406
30,0.0106,1.0000,0.3336,0.9235,0.000376
31,0.0108,1.0000,0.3284,0.9235,0.000345
32,0.0099,1.0000,0.3304,0.9206,0.000316
33,0.0098,1.0000,0.3291,0.9206,0.000287
34,0.0096,1.0000,0.3251,0.9225,0.000259
35,0.0097,1.0000,0.3263,0.9225,0.000232
36,0.0094,1.0000,0.3266,0.9216,0.000206
37,0.0092,1.0000,0.3243,0.9225,0.000181
38,0.0090,1.0000,0.3255,0.9216,0.000158
39,0.0088,1.0000,0.3234,0.9235,0.000136
40,0.0086,1.0000,0.3232,0.9216,0.000115
41,0.0089,1.0000,0.3218,0.9216,0.000095
42,0.0086,1.0000,0.3221,0.9225,0.000078
43,0.0082,1.0000,0.3221,0.9225,0.000062
44,0.0083,1.0000,0.3219,0.9225,0.000048
45,0.0083,1.0000,0.3223,0.9216,0.000035
46,0.0081,1.0000,0.3229,0.9216,0.000024
47,0.0083,1.0000,0.3227,0.9216,0.000016
48,0.0083,1.0000,0.3224,0.9216,0.000009
49,0.0086,1.0000,0.3223,0.9216,0.000004
50,0.0084,1.0000,0.3223,0.9216,0.000001
