epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.0846,0.1873,2.9837,0.5696,0.001000
2,1.9997,0.7618,1.5692,0.7794,0.000999
3,0.8827,0.9284,1.0231,0.8627,0.000996
4,0.4377,0.9775,0.7643,0.8931,0.000991
5,0.2645,0.9902,0.6564,0.9020,0.000984
6,0.1742,0.9961,0.5756,0.9127,0.000976
7,0.1228,0.9990,0.5206,0.9157,0.000965
8,0.0878,1.0000,0.4826,0.9245,0.000952
9,0.0697,1.0000,0.4548,0.9216,0.000938
10,0.0553,1.0000,0.4353,0.9196,0.000922
11,0.0463,1.0000,0.4257,0.9216,0.000905
12,0.0406,1.0000,0.4046,0.9255,0.000885
13,0.0353,1.0000,0.3978,0.9225,0.000864
14,0.0304,1.0000,0.3876,0.9245,0.000842
15,0.0289,1.0000,0.3811,0.9275,0.000819
16,0.0253,1.0000,0.3696,0.9284,0.000794
17,0.0225,1.0000,0.3537,0.9343,0.000768
18,0.0207,1.0000,0.3550,0.9324,0.000741
19,0.0193,1.0000,0.3560,0.9294,0.000713
20,0.0173,1.0000,0.3431,0.9314,0.000684
21,0.0157,1.0000,0.3499,0.9294,0.000655
22,0.0151,1.0000,0.3399,0.9294,0.000624
23,0.0141,1.0000,0.3397,0.9343,0.000594
24,0.0138,1.0000,0.3349,0.9333,0.000563
25,0.0128,1.0000,0.3327,0.9314,0.000531
26,0.0122,1.0000,0.3329,0.9324,0.000500
27,0.0116,1.0000,0.3271,0.9324,0.000469
28,0.0112,1.0000,0.3261,0.9304,0.000437
29,0.0108,1.0000,0.3261,0.9294,0.000406
30,0.0104,1.0000,0.3212,0.9324,0.000376
31,0.0099,1.0000,0.3210,0.9333,0.000345
32,0.0101,1.0000,0.3159,0.9343,0.000316
33,0.0097,1.0000,0.3157,0.9353,0.000287
34,0.0093,1.0000,0.3146,0.9333,0.000259
35,0.0091,1.0000,0.3152,0.9353,0.000232
36,0.0091,1.0000,0.3159,0.9353,0.000206
37,0.0088,1.0000,0.3154,0.9353,0.000181
38,0.0086,1.0000,0.3137,0.9343,0.000158
39,0.0085,1.0000,0.3126,0.9353,0.000136
40,0.0083,1.0000,0.3120,0.9333,0.000115
41,0.0084,1.0000,0.3126,0.9333,0.000095
42,0.0083,1.0000,0.3120,0.9363,0.000078
43,0.0080,1.0000,0.3120,0.9353,0.000062
44,0.0081,1.0000,0.3124,0.9324,0.000048
45,0.0081,1.0000,0.3116,0.9324,0.000035
46,0.0080,1.0000,0.3111,0.9324,0.000024
47,0.0081,1.0000,0.3110,0.9333,0.000016
48,0.0083,1.0000,0.3110,0.9333,0.000009
49,0.0081,1.0000,0.3110,0.9333,0.000004
50,0.0080,1.0000,0.3110,0.9333,0.000001
