epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.7938,0.0098,4.3796,0.0912,0.001000
2,3.8942,0.3333,3.9907,0.2206,0.000997
3,3.2658,0.7010,3.6784,0.3275,0.000989
4,2.6911,0.8922,3.4111,0.3951,0.000976
5,2.1868,0.9265,3.1795,0.4500,0.000957
6,1.7706,0.9657,2.9815,0.4853,0.000933
7,1.4035,0.9853,2.8203,0.5147,0.000905
8,1.1574,0.9853,2.6874,0.5265,0.000872
9,0.9365,1.0000,2.5831,0.5422,0.000835
10,0.7949,0.9951,2.5007,0.5441,0.000794
11,0.6826,1.0000,2.4344,0.5520,0.000750
12,0.5795,1.0000,2.3822,0.5539,0.000703
13,0.5101,1.0000,2.3379,0.5500,0.000655
14,0.4613,1.0000,2.3038,0.5500,0.000604
15,0.3962,1.0000,2.2748,0.5510,0.000552
16,0.3790,1.0000,2.2490,0.5520,0.000500
17,0.3485,1.0000,2.2297,0.5598,0.000448
18,0.3272,1.0000,2.2130,0.5608,0.000396
19,0.3043,1.0000,2.1982,0.5598,0.000345
20,0.2894,1.0000,2.1867,0.5627,0.000297
21,0.2778,1.0000,2.1774,0.5657,0.000250
22,0.2684,1.0000,2.1693,0.5676,0.000206
23,0.2581,1.0000,2.1627,0.5657,0.000165
24,0.2630,1.0000,2.1576,0.5686,0.000128
25,0.2569,1.0000,2.1540,0.5686,0.000095
26,0.2505,1.0000,2.1513,0.5706,0.000067
27,0.2481,1.0000,2.1495,0.5706,0.000043
28,0.2399,1.0000,2.1484,0.5706,0.000024
29,0.2396,1.0000,2.1479,0.5716,0.000011
30,0.2483,1.0000,2.1478,0.5716,0.000003
