epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.1300,0.1725,3.1856,0.5049,0.001000
2,2.4862,0.6745,2.2529,0.6706,0.000999
3,1.5677,0.8598,1.7188,0.7559,0.000996
4,1.0656,0.9137,1.4186,0.7853,0.000991
5,0.7525,0.9422,1.2303,0.8069,0.000984
6,0.5637,0.9618,1.0978,0.8137,0.000976
7,0.4343,0.9814,1.0026,0.8235,0.000965
8,0.3588,0.9824,0.9307,0.8314,0.000952
9,0.2879,0.9902,0.8794,0.8373,0.000938
10,0.2325,0.9951,0.8400,0.8392,0.000922
11,0.1972,0.9951,0.7988,0.8412,0.000905
12,0.1818,0.9951,0.7723,0.8461,0.000885
13,0.1514,0.9961,0.7483,0.8520,0.000864
14,0.1319,0.9980,0.7305,0.8500,0.000842
15,0.1169,0.9990,0.7135,0.8500,0.000819
16,0.1040,0.9990,0.6979,0.8559,0.000794
17,0.0914,1.0000,0.6832,0.8520,0.000768
18,0.0843,0.9990,0.6757,0.8471,0.000741
19,0.0781,1.0000,0.6661,0.8510,0.000713
20,0.0723,1.0000,0.6571,0.8520,0.000684
21,0.0686,1.0000,0.6465,0.8510,0.000655
22,0.0623,1.0000,0.6380,0.8578,0.000624
23,0.0588,1.0000,0.6330,0.8608,0.000594
24,0.0572,1.0000,0.6266,0.8598,0.000563
25,0.0527,1.0000,0.6178,0.8569,0.000531
26,0.0522,1.0000,0.6137,0.8578,0.000500
27,0.0486,1.0000,0.6092,0.8588,0.000469
28,0.0459,1.0000,0.6089,0.8569,0.000437
29,0.0450,1.0000,0.6008,0.8588,0.000406
30,0.0431,1.0000,0.5964,0.8608,0.000376
31,0.0454,0.9990,0.5978,0.8608,0.000345
32,0.0410,1.0000,0.5928,0.8578,0.000316
33,0.0408,1.0000,0.5925,0.8578,0.000287
34,0.0379,1.0000,0.5894,0.8588,0.000259
35,0.0369,1.0000,0.5891,0.8598,0.000232
36,0.0381,1.0000,0.5877,0.8569,0.000206
37,0.0342,1.0000,0.5852,0.8598,0.000181
38,0.0358,1.0000,0.5844,0.8588,0.000158
39,0.0340,1.0000,0.5837,0.8598,0.000136
40,0.0347,1.0000,0.5820,0.8588,0.000115
41,0.0357,1.0000,0.5816,0.8578,0.000095
42,0.0333,1.0000,0.5816,0.8588,0.000078
43,0.0332,1.0000,0.5804,0.8588,0.000062
